Name;Year;Genres;IMDBRate;MyRate;Voters
Меч короля Артура;2017;Action Adventure Drama;6.8;6;155012
Ordinary Person;2017;Action Crime Drama;6.1;7;268
Роковое искушение;2017;Drama Thriller;6.3;6;37967
Little Women;1933;Drama Family Romance;7.4;6;5316
Аэлита;1924;Adventure Drama Fantasy;6.6;7;2000
Finis terrae;1929;Drama;7.3;6;365
Красавица и чудовище;2017;Family Fantasy Musical;7.2;6;215701
Изгой-один. Звёздные войны: Истории;2016;Action Adventure Sci-Fi;7.8;5;440385
Нелюбовь;2017;Drama;7.7;8;19413
Усталая смерть;1921;Drama Fantasy Thriller;7.7;6;4267
The Beguiled;1971;Drama Thriller War;7.2;7;13422
Прочь;2017;Horror Mystery Thriller;7.7;6;329718
Чужой: Завет;2017;Horror Sci-Fi Thriller;6.4;7;207912
Отряд самоубийц;2016;Action Adventure Fantasy;6.1;6;492149
Anne of the Thousand Days;1969;Biography Drama History;7.5;7;5956
Кредо убийцы;2016;Action Adventure Fantasy;5.8;5;156133
The Roman Spring of Mrs. Stone;1961;Drama Romance;6.6;7;2094
Вражда;2017;Biography Drama;8.6;8;12666
Thirteen Women;1932;Drama Horror Mystery;6.3;5;922
Доктор Стрэндж;2016;Action Adventure Fantasy;7.5;5;446365
Стражи Галактики. Часть 2;2017;Action Adventure Comedy;7.7;7;407919
Сплит;2016;Horror Thriller;7.3;7;282696
Табу;2017;Drama Mystery Thriller;8.5;7;89639
Время первых;2017;Adventure Drama History;7.3;7;3782
Частная прaктика;2007;Comedy Drama Romance;6.7;6;20123
Молодой Папа;2016;Drama;8.4;7;24845
Легион;2017;Action Drama Sci-Fi;8.4;7;66576
Мадам ДюБарри;1919;Biography Drama;6.9;6;639
Вoзница;1921;Drama Fantasy Horror;8.1;7;8242
Афера по-английски;2016;Action Crime Drama;5.8;7;6076
Manhattan;1979;Comedy Drama Romance;8;7;118161
Конг: Остров черепа;2017;Action Adventure Fantasy;6.7;6;214897
The Farmer's Daughter;1947;Comedy Drama Romance;7.4;6;1921
Логан: Росомаха;2017;Action Drama Sci-Fi;8.1;7;506404
Mourning Becomes Electra;1947;Drama;6.5;6;800
A Double Life;1947;Crime Drama Film-Noir;7;8;2525
Saturday Night Fever;1977;Drama Music;6.8;7;61995
Рождение нации;2016;Biography Drama History;6.4;6;17607
Один неверный ход;1992;Crime Drama;7.2;7;8545
Grease;1978;Musical Romance;7.2;7;197909
Персона;1966;Drama Thriller;8.1;7;81174
Коммивояжер;2016;Drama Thriller;7.8;8;36585
Флоренс Фостер Дженкинс;2016;Biography Comedy Drama;6.9;6;41733
Джеки;2016;Biography Drama History;6.7;8;61500
Молчание;2016;Adventure Drama History;7.2;8;78378
Манчестер у моря;2016;Drama;7.8;7;195373
Скрытые фигуры;2016;Biography Drama History;7.8;5;155655
Лунный свет;2016;Drama;7.4;7;203100
The Scarlet Empress;1934;Drama History Romance;7.7;7;4885
Закон ночи;2016;Action Crime Drama;6.4;5;43587
Ла-Ла Ленд;2016;Comedy Drama Music;8.1;7;391067
The Way We Were;1973;Drama Romance;7.1;7;19127
Дэдпул;2016;Action Adventure Comedy;8;4;760391
Любой ценой;2016;Crime Drama Thriller;7.6;8;159615
Как избежать наказания за убийство;2014;Crime Drama Mystery;8.2;7;93787
Джульетта;2016;Drama Mystery Romance;7.1;6;22449
Любовь и дружба;2016;Comedy Drama Romance;6.4;7;20060
Под покровом ночи;2016;Crime Drama Romance;7.5;8;184723
Планетариум;2016;Drama Fantasy Mystery;4.6;6;2177
Playtime;1967;Comedy;8;5;15740
Фантастические твари и где они обитают;2016;Adventure Family Fantasy;7.4;7;314921
Hush...Hush, Sweet Charlotte;1964;Crime Drama Mystery;7.7;7;10874
Прибытие;2016;Drama Mystery Sci-Fi;7.9;7;467610
Мятная конфета;1999;Drama;7.8;5;6172
Девушка в поезде;2016;Crime Drama Mystery;6.5;7;138627
Не дыши;2016;Crime Horror Thriller;7.1;6;168939
Капитан Фантастик;2016;Comedy Drama;7.9;7;145183
Франц;2016;Drama History Romance;7.5;7;9462
Дуэлянт;2016;Action Drama Thriller;6.4;5;2286
Это всего лишь конец света;2016;Drama;6.9;6;16400
Дом странных детей Мисс Перегрин;2016;Adventure Drama Fantasy;6.7;7;131869
Сочувствие госпоже Месть;2005;Crime Drama Thriller;7.6;7;61957
Hanyo;1960;Crime Drama Thriller;7.3;7;2345
Сочувствие господину Месть;2002;Action Drama Thriller;7.7;6;53786
A Night at the Opera;1935;Comedy Music Musical;8;5;27702
Опьяненные;2002;Drama Horror Mystery;7;6;1147
Geuhae yeoreum;2006;Drama Romance;7.3;7;708
Служанка;2016;Drama Romance Thriller;8.1;7;65957
Она;2016;Crime Drama Thriller;7.2;7;50482
Орфей;1950;Fantasy Drama Romance;8;7;8638
Великолепная семерка;2016;Action Adventure Western;6.9;7;157737
Whisky Galore!;1949;Comedy Crime;7.3;7;4230
Чудо на Гудзоне;2016;Biography Drama;7.5;8;184141
Прослушка;2002;Crime Drama Thriller;9.3;9;230647
Свет в океане;2016;Drama Romance;7.2;8;41566
Высотка;2015;Drama;5.6;6;31608
Пустая корона;2012;Drama History;8.7;5;367
Пустая корона;2012;Drama History;8.4;6;320
Пустая корона;2012;Drama History;8;6;356
Славные парни;2016;Action Comedy Crime;7.4;8;222063
Голодные игры: Сойка-пересмешница. Часть II;2015;Action Adventure Sci-Fi;6.5;5;234977
Голодные игры: Сойка-пересмешница. Часть I;2014;Action Adventure Sci-Fi;6.7;4;362210
Le caporal épinglé;1962;Comedy Drama;7.1;7;617
Крутые меры;2016;Action Crime Drama;6.3;7;28385
Три девятки;2016;Action Crime Drama;6.3;7;57246
Гений;2016;Biography Drama;6.5;6;14333
Светская жизнь;2016;Comedy Drama Romance;6.6;5;58225
Kaidan;1964;Drama Fantasy Horror;8;7;12081
Эдди 'Орёл';2016;Biography Comedy Drama;7.4;8;69906
Врожденный порок;2014;Comedy Crime Drama;6.7;6;78488
La Bohème;1926;Drama Romance;7.8;7;1315
Реальные упыри;2014;Comedy Horror;7.6;8;111635
Люди Икс: Апокалипсис;2016;Action Adventure Sci-Fi;7;7;328499
Les vacances de Monsieur Hulot;1953;Comedy;7.6;7;14427
Первый мститель: Противостояние;2016;Action Adventure Sci-Fi;7.8;7;521531
The Outrage;1964;Crime Drama Western;6.3;6;1702
Suna no onna;1964;Drama Thriller;8.5;6;13925
Тайны миллиардера;2015;Documentary Crime;8.7;9;30498
Американская История Преступлений;2016;Biography Crime Drama;8.5;8;58097
Книга джунглей;2016;Adventure Drama Family;7.4;6;229498
The Men;1950;Drama;7.2;7;3725
The Wild One;1953;Drama;6.9;7;12846
Армия тьмы;1992;Comedy Horror;7.6;6;145980
The Last Command;1928;Drama History Romance;8;8;2784
Анатомия страсти;2005;Drama Romance;7.6;7;197206
Street Angel;1928;Drama;7.5;7;1799
Hard Boiled Yeggs;1926;Short Comedy;5.5;5;25
¿Qué he hecho yo para merecer esto?;1984;Comedy Drama;7.2;6;7346
Звёздные войны: Пробуждение Силы;2015;Action Adventure Fantasy;8;4;752640
Послушай меня, Марлон;2015;Documentary Biography;8.2;9;5965
Бэтмен против Супермена: На заре справедливости;2016;Action Adventure Fantasy;6.6;5;545102
Амаркорд;1973;Comedy Drama;7.9;8;34098
Месть от кутюр;2015;Comedy Drama;7.1;7;42945
Джейн берёт ружьё;2015;Action Drama Western;5.9;6;17999
Пробы;2015;Short Comedy;6.8;8;1831
