Name;Year;Genres;IMDBRate;MyRate;Voters
Priklyucheniya Sherloka Kholmsa i doktora Vatsona;1980;Crime Mystery;8.5;7;1921
Across the Wide Missouri;1951;Adventure Romance Western;6.2;5;1583
Nobody Lives Forever;1946;Crime Drama Film-Noir;7;7;976
Пустоши;1973;Crime Drama;7.9;6;55641
Стрелок;2014;Short Comedy Western;8.1;8;2401
Обыкновенное сердце;2014;Drama History Romance;7.9;7;30019
Лок;2013;Drama;7.1;7;113844
Repulsion;1965;Drama Horror Thriller;7.8;6;41427
The Tragedy of Macbeth;1971;Biography Drama History;7.5;7;11049
Knife in the Water;1962;Drama Thriller;7.6;6;17046
Чёрный список;2013;Crime Drama Mystery;8.1;7;144538
Голгофа;2014;Drama;7.4;7;50374
Hamlet liikemaailmassa;1987;Comedy Drama Romance;7.1;6;1561
The Tarnished Angels;1957;Drama;7.2;7;2618
День труда;2013;Drama Romance;6.9;7;37348
Грань будущего;2014;Action Sci-Fi;7.9;6;521225
Lured;1947;Crime Film-Noir Mystery;7;7;2218
Written on the Wind;1956;Drama;7.5;7;8731
Фрэнк;2014;Comedy Drama Music;7;7;67560
Убийство на пляже;2013;Crime Drama Mystery;8.4;5;66077
Люди Икс: Дни минувшего будущего;2014;Action Adventure Sci-Fi;8;7;594419
Ганнибал;2013;Crime Drama Horror;8.6;7;192957
Фарго;2014;Crime Drama Thriller;9;8;249282
All That Heaven Allows;1955;Drama Romance;7.7;6;11151
All I Desire;1953;Drama Romance;7.1;6;1433
Долгое падение;2014;Comedy Drama;6.4;6;28408
Открытый простор;2003;Action Drama Romance;7.5;6;59981
Другая женщина;2014;Comedy Romance;6;4;118512
Под маской жиголо;2013;Comedy;6.2;7;21888
Pépé le Moko;1937;Crime Drama Romance;7.7;7;5323
Дом Хемингуэй;2013;Comedy Crime Drama;6.2;5;23841
Chikamatsu monogatari;1954;Drama History Romance;8.1;6;2864
Carmen;1983;Drama Music Romance;7.7;8;2585
Bodas de sangre;1981;Music;7.6;7;1377
Первый мститель: Другая война;2014;Action Adventure Sci-Fi;7.8;6;614700
Роковая страсть;2013;Drama Romance;6.6;7;25483
Выживут только любовники;2013;Comedy Drama Fantasy;7.3;7;76838
Предложение;2005;Crime Drama Western;7.4;7;46204
The Damned Don't Cry;1950;Crime Drama Film-Noir;7.2;7;1827
The Marriage Circle;1924;Comedy;7.4;6;914
Make Way for Tomorrow;1937;Comedy Drama Romance;8.3;7;6013
Красавица и чудовище;2014;Drama Fantasy Romance;6.4;5;17218
Eternal Love;1929;Drama Romance;7.1;5;386
Lady Windermere's Fan;1925;Comedy;7.5;6;845
Lonely Are the Brave;1962;Drama Western;7.7;7;6895
The Wedding March;1928;Drama;7.6;6;1320
Underground;1928;Drama Romance;7.4;7;339
Рассекая волны;1996;Drama;7.9;6;54899
Отель Гранд Будапешт;2014;Adventure Comedy Drama;8.1;5;599955
Настоящий детектив;2014;Crime Drama Mystery;9;9;408001
Po zakonu;1926;Drama;7.9;6;728
Иваново детство;1962;Drama War;8.1;6;24464
Andrei Rublev;1966;Biography Drama History;8.2;8;35820
Z;1969;Crime Drama History;8.2;5;20457
Гамлет;2009;Drama;8.2;7;2737
Охотники за сокровищами;2014;Drama History War;6.1;6;114332
Филомена;2013;Biography Drama;7.6;7;86249
Робокоп;2014;Action Crime Sci-Fi;6.2;7;200546
Lung foo fung wan;1987;Action Crime Drama;7.1;6;5067
Волк с Уолл-стрит;2013;Biography Comedy Crime;8.2;8;972592
Top Hat;1935;Comedy Musical Romance;7.8;5;15126
Baby Face;1933;Drama Romance;7.6;7;5067
Wagon Master;1950;Adventure Western;7.2;7;3568
Мастер побега;2013;Drama Thriller;7.7;5;4457
The Long Riders;1980;Crime Western;7.1;5;8479
The More the Merrier;1943;Comedy Romance War;7.9;5;4953
The King and Four Queens;1956;Adventure Comedy Mystery;6.1;6;1170
China Seas;1935;Action Drama Adventure;7;6;1966
The Ghost and Mrs. Muir;1947;Comedy Drama Fantasy;7.9;7;13544
Two for the Road;1967;Comedy Drama Romance;7.6;7;10456
The Petrified Forest;1936;Drama Film-Noir Romance;7.6;5;10832
Спасти мистера Бэнкса;2013;Biography Comedy Drama;7.5;7;133747
Великая красота;2013;Drama;7.8;7;68695
New York Stories;1989;Comedy Drama Romance;6.4;5;15241
Сладкая жизнь;1960;Comedy Drama;8.1;8;56510
The Life and Death of Colonel Blimp;1943;Drama Romance War;8.2;8;11266
Затоiчи;2003;Action Comedy Crime;7.6;6;43938
Внутри Льюина Дэвиса;2013;Drama Music;7.5;7;117536
Она;2013;Drama Romance Sci-Fi;8;8;438756
Splendor in the Grass;1961;Drama Romance;7.8;7;15481
Гонка;2013;Action Biography Drama;8.1;7;376493
Indiscreet;1958;Comedy Romance;6.8;7;6540
Воровка книг;2013;Drama War;7.6;6;115093
За канделябрами;2013;Biography Drama Romance;7;7;36586
Афера по-американски;2013;Crime Drama;7.3;4;403842
Далласский клуб покупателей;2013;Biography Drama;8;5;385592
Август;2013;Drama;7.2;6;77009
Капитан Филлипс;2013;Biography Drama Thriller;7.8;6;373148
Дворецкий;2013;Biography Drama;7.2;5;99415
Angel and the Badman;1947;Romance Western;7;6;4447
Не угаснет надежда;2013;Action Adventure Drama;6.9;7;68268
Potomok Chingis-Khana;1928;Drama War;7.3;7;1499
Too Many Husbands;1940;Comedy Romance;6.5;7;1072
Небесный капитан и мир будущего;2004;Action Adventure Mystery;6.1;7;77303
The Last Emperor;1987;Biography Drama History;7.8;8;81249
Хоббит: Пустошь Смауга;2013;Adventure Fantasy;7.9;6;547418
The Producers;1967;Comedy Music;7.7;7;44861
Foolish Wives;1922;Drama Thriller;7.2;6;2496
12 лет рабства;2013;Biography Drama History;8.1;7;548186
The Chronicle History of King Henry the Fifth with His Battell Fought at Agincourt in France;1944;Biography Drama History;7.3;6;5026
Casque d'or;1952;Crime Drama Romance;7.8;7;4084
Lucky Star;1929;Drama Romance;7.9;8;971
Пуаро;1989;Crime Drama Mystery;7.5;5;1291
Funny Girl;1968;Biography Comedy Drama;7.6;7;15709
Грязь;2013;Comedy Crime Drama;7.1;7;89555
Пуаро;1989;Crime Drama Mystery;8;5;1078
Слепые мужья;1919;Drama Romance;6.9;6;1173
A Canterbury Tale;1944;Comedy Drama Mystery;7.6;7;4287
Пуаро;1989;Crime Drama Mystery;8.1;6;1350
Пуаро;1989;Crime Drama Mystery;7.7;5;1090
The Naked Edge;1961;Crime Mystery Thriller;6.7;6;797
The Americanization of Emily;1964;Comedy Drama War;7.4;6;4210
Советник;2013;Crime Drama Thriller;5.3;7;89629
Эмма;2009;Comedy Drama Romance;8.1;7;12715
Тор 2: Царство тьмы;2013;Action Adventure Sci-Fi;7;6;500970
Пуаро;1989;Crime Drama Mystery;8;7;1071
7th Heaven;1927;Drama Romance;7.8;7;2546
Пуаро;1989;Crime Drama Mystery;8.1;6;1435
Ningen no jôken;1961;Drama History War;8.8;8;3642
Пуаро;1989;Crime Drama Mystery;7.8;6;1476
Пуаро;1989;Crime Drama Mystery;7.4;5;1358
Пуаро;1989;Crime Drama Mystery;7.5;6;1410
A Scandal in Paris;1946;Adventure Crime Romance;6.8;7;694
West of the Pecos;1945;Western;6.2;5;198
Пуаро;1989;Crime Drama Mystery;7.9;6;1144
Les grandes manoeuvres;1955;Comedy Drama Romance;6.9;7;761
Много шума из ничего;2012;Comedy Drama Romance;7.2;8;15107
Пуаро;1989;Crime Drama Mystery;7.5;7;1487
Пуаро;1989;Crime Drama Mystery;7.5;7;1140
Пуаро;1989;Crime Drama Mystery;7.9;7;1164
Пуаро;1989;Crime Drama Mystery;8;6;1227
Пуаро;1989;Crime Drama Mystery;7.7;6;1337
Мастер и Маргарита;2005;Drama Mystery Romance;7.5;4;3065
Ledi Makbet Mtsenskogo uezda;1989;Drama;6.7;7;77
Le rouge et le noir;1954;Drama Romance;6.8;7;472
Krasnoe i chernoe;1976;Drama;7.2;5;49
Kortik;1974;Adventure Family History;7.6;6;260
Обитаемый остров;2009;Action Adventure Sci-Fi;5.2;3;4878
Турецкий гамбит;2005;War Action Adventure;7.1;8;3716
Vechnyy zov;1973;Drama;7.8;7;172
Khozhdenie po mukam;1977;Drama History;7.8;6;78
Бумер;2003;Crime Drama;7.2;4;5076
Бригада;2002;Action Crime Drama;8.4;7;8397
Участок;2003;Comedy Crime;7.1;7;359
Пираты ХХ века;1980;Action Adventure Crime;6.7;5;636
Kapitan 'Piligrima';1987;Adventure;6.5;7;50
Rozygrysh;1977;Romance;7.2;7;246
Приключения Электроника;1980;Adventure Comedy Crime;7.7;6;1342
Гостья из будущего;1984;Adventure Family Sci-Fi;8.3;7;1782
Vesna na Zarechnoy ulitse;1956;Romance;7.6;7;979
Respublika ShKID;1966;Comedy Drama Family;7.9;7;756
Девчата;1962;Comedy Romance;8.1;8;2330
12 stulyev;1977;Adventure Comedy Mystery;8.4;8;3591
12 stulyev;1971;Adventure Comedy Crime;8.4;7;4588
Lady Caroline Lamb;1972;Drama History Romance;5.5;7;371
The Last Days of Pompeii;1984;Action Drama History;7.3;6;436
Black Arrow;1985;Adventure History;7.4;7;491
V poiskakh kapitana Granta;1986;Adventure;8.3;7;694
Алые паруса;1961;Drama Fantasy Romance;7.2;7;449
Vsadnik bez golovy;1973;Adventure Romance Western;6.6;6;204
Война и мир;1966;Drama History Romance;7.9;8;5272
Anna Karenina;1967;Drama Romance;7.1;7;742
А Если Это Любовь?;1962;Drama;7.3;7;170
Полосатый рейс;1961;Comedy Action Adventure;7.5;6;1675
Dve strely. Detektiv kamennogo veka;1989;Comedy Crime;5.9;6;96
Dva Fyodora;1959;Drama;7;6;126
Завтра была война;1987;Drama Family War;7.8;7;639
Odinokim predostavlyaetsya obshchezhitiye;1984;Comedy Romance;6.9;6;187
Мушкетёры 20 лет спустя;1993;Adventure;6.1;5;360
Д'Артаньян и три мушкетёра;1979;Adventure History Musical;8.1;7;2551
V nachale slavnykh del;1980;Drama History;7.2;6;114
Rossiya molodaya;1981;Drama History;8;6;146
Гардемарины III;1992;Adventure;5.5;5;293
Truffaldino iz Bergamo;1977;Comedy Musical Romance;7.9;7;399
Собачье сердце;1988;Comedy Drama Sci-Fi;8.8;8;5337
Собака на сене;1978;Comedy Musical;8;7;685
Don Sezar de Bazan;1989;Musical Comedy;7.3;5;199
Dochki-materi;1975;Drama;7.1;5;87
Dikaya sobaka Dingo;1962;Drama Romance;7.2;7;108
Дело было в Пенькове;1958;Drama Romance;7.5;8;258
All the Rivers Run;1983;Drama Romance;7.6;7;516
Akh, vodevil, vodevil...;1980;Comedy Musical;6.4;6;131
Кража в кромешной тьме;2011;Short Crime Drama;7.5;7;1020
Зачем менять жену?;1920;Comedy Drama;7.8;7;1247
Не меняй своего мужа;1919;Comedy;7.7;7;1045
Die wunderbare Lüge der Nina Petrowna;1929;Drama;7.3;8;190
Blood and Sand;1922;Drama Romance Sport;7.2;6;1121
Ningen no jôken;1959;Drama History War;8.5;8;3722
Много шума из ничего;1993;Comedy Drama Romance;7.4;7;40887
Элементарно;2012;Crime Drama Mystery;7.9;8;89100
The Docks of New York;1928;Crime Drama Film-Noir;7.7;7;3303
Bigger Than Life;1956;Drama;7.6;6;5845
The Dirty Dozen;1967;Action Adventure War;7.8;7;59320
Going My Way;1944;Comedy Drama Music;7.2;6;8879
Whirlpool;1950;Crime Drama Film-Noir;6.9;6;3157
Long Day's Journey Into Night;1962;Drama;7.7;7;3992
Клетка для пташек;1996;Comedy;7;7;69748
Jûjiro;1928;Drama;7.2;6;258
Ningen no jôken;1959;Drama War;8.6;8;4761
Dinner at Eight;1933;Comedy Drama;7.8;7;6624
Twentieth Century;1934;Comedy Romance;7.8;7;5114
Sadie Thompson;1928;Drama;7.8;7;2293
Закон Гарроу;2009;Biography Drama;8.3;8;953
The Second Woman;1950;Drama Film-Noir Mystery;6.4;5;790
While the City Sleeps;1956;Crime Drama Film-Noir;7;6;4483
He Walked by Night;1948;Crime Film-Noir Thriller;7.2;7;3933
Le corbeau;1943;Crime Drama Mystery;7.8;7;7454
Pale Rider;1985;Western;7.3;6;45571
How Green Was My Valley;1941;Drama Family;7.8;7;18247
A Place in the Sun;1951;Drama Romance;7.8;5;17377
Принцесса устриц;1919;Comedy;7.2;7;1387
Die Nibelungen: Kriemhilds Rache;1924;Adventure Drama Fantasy;7.9;7;3349
Barton Fink;1991;Comedy Drama Thriller;7.7;6;100504
Страсти Дон Жуана;2013;Comedy Drama Romance;6.6;6;210751
The Big Combo;1955;Crime Drama Film-Noir;7.4;6;5303
Пленницы;2013;Crime Drama Mystery;8.1;9;496283
Los olvidados;1950;Crime Drama;8.3;7;15305
Mona Lisa;1986;Crime Drama Romance;7.4;6;11293
Жасмин;2013;Drama;7.3;6;173654
Гравитация;2013;Drama Sci-Fi Thriller;7.7;8;676263
The Cameraman;1928;Comedy Romance Family;8.3;7;8815
Лучшее предложение;2013;Crime Drama Mystery;7.8;7;89988
Sudden Fear;1952;Film-Noir Thriller;7.6;7;3782
The Broadway Melody;1929;Drama Musical Romance;6.2;5;5454
Bud Abbott Lou Costello Meet Frankenstein;1948;Comedy Fantasy Horror;7.6;6;12473
Небраска;2013;Adventure Comedy Drama;7.7;7;102395
Shenandoah;1965;Drama War Western;7.4;7;6985
Ночной дозор;2004;Action Fantasy Horror;6.5;4;49852
Pierrot le fou;1965;Crime Drama Romance;7.7;6;23804
The Greatest Show on Earth;1952;Drama Family Romance;6.7;5;11075
Human Desire;1954;Drama Film-Noir Romance;7.2;7;3181
The Lineup;1958;Crime Drama Film-Noir;7.4;7;1993
Mrs. Miniver;1942;Drama Romance War;7.6;7;13520
Around the World in 80 Days;1956;Adventure Comedy Family;6.8;7;21131
Ordinary People;1980;Drama;7.8;6;40340
Terms of Endearment;1983;Comedy Drama;7.4;7;47276
Kansas City Confidential;1952;Crime Drama Film-Noir;7.4;7;4797
Marty;1955;Drama Romance;7.7;7;18217
Force of Evil;1948;Crime Drama Film-Noir;7.4;6;4894
The Strange Love of Martha Ivers;1946;Drama Film-Noir Romance;7.5;6;6730
Ледяной;2012;Biography Crime Drama;6.9;5;63254
Sorry, Wrong Number;1948;Drama Film-Noir Mystery;7.5;6;8356
The Crimson Kimono;1959;Crime Drama Mystery;7;7;1587
Secret Beyond the Door...;1947;Drama Film-Noir Mystery;6.8;7;3701
Caught;1949;Drama Film-Noir Thriller;7.1;5;2668
Madame de...;1953;Drama Romance;8;6;7499
Поговори с ней;2002;Drama Mystery Romance;8;8;94673
О где же ты брат?;2000;Adventure Comedy Crime;7.8;7;253531
Bизaнтия;2012;Drama Fantasy Horror;6.5;6;36721
Элизиум: Рай не на Земле;2013;Action Drama Sci-Fi;6.6;7;382965
Odds Against Tomorrow;1959;Crime Drama Thriller;7.4;7;2843
Where Danger Lives;1950;Crime Film-Noir Thriller;6.8;7;2098
Hamlet;1948;Drama;7.8;7;13364
Росомаха: Бессмертный;2013;Action Adventure Fantasy;6.7;6;384032
Dark Waters;1944;Drama Film-Noir Mystery;6.5;7;692
Crime of Passion;1957;Crime Drama Film-Noir;6.5;6;1662
De vierde man;1983;Drama Mystery Thriller;7.3;5;6113
Turks fruit;1973;Drama Romance;7.2;5;8780
Тихоокеанский рубеж;2013;Action Adventure Sci-Fi;6.9;6;431939
Ryan's Daughter;1970;Drama Romance;7.5;7;7485
On Dangerous Ground;1951;Drama Film-Noir;7.4;6;5075
Journey Into Fear;1943;Drama Film-Noir Thriller;6.6;7;3301
Raw Deal;1948;Crime Drama Film-Noir;7.3;7;3365
Dark City;1950;Crime Drama Film-Noir;6.8;6;1539
Panic in the Streets;1950;Crime Drama Film-Noir;7.3;6;5752
Одинокий рейнджер;2013;Action Adventure Western;6.4;7;202751
A Foreign Affair;1948;Comedy Drama Romance;7.4;7;5687
Crossfire;1947;Crime Drama Film-Noir;7.4;5;6387
Beware, My Lovely;1952;Crime Drama Film-Noir;6.6;6;1295
Mystery Street;1950;Crime Drama Film-Noir;7.1;7;2287
Война миров Z;2013;Action Adventure Horror;7;6;532630
Ministry of Fear;1944;Crime Drama Film-Noir;7.2;7;5754
Pitfall;1948;Crime Film-Noir Thriller;7.3;7;2183
Квартира;1996;Drama Mystery Romance;7.5;8;12474
Kiss the Blood Off My Hands;1948;Crime Drama Film-Noir;6.9;7;780
На исходе дня;1993;Drama Romance;7.9;6;53845
Phantom Lady;1944;Crime Drama Film-Noir;7.3;5;3346
The File on Thelma Jordon;1950;Crime Drama Film-Noir;7;6;1582
The Lodger;1944;Crime Horror Mystery;7.2;6;2560
Boomerang!;1947;Crime Drama Film-Noir;7.2;7;3473
Berlin Express;1948;Crime Drama Film-Noir;6.8;7;2431
Act of Violence;1949;Drama Film-Noir Thriller;7.5;6;3715
Порочные игры;2013;Drama Thriller;6.8;5;94810
The Great Gatsby;1949;Drama;6.6;5;562
Darling;1965;Drama Romance;7.2;6;5015
Иллюзия обмана;2013;Crime Mystery Thriller;7.3;4;531329
Fantasma d'amore;1981;Drama Horror Mystery;6.7;6;431
Beликий мастер;2013;Action Biography Drama;6.6;6;27814
Я очень возбужден;2013;Comedy;5.6;5;19618
East of Eden;1955;Drama;8;6;34995
Великий Гэтсби;2000;Drama Romance;5.8;4;1589
Пожары;2010;Drama Mystery War;8.2;6;114126
Всё о моей матери;1999;Drama;7.9;6;78187
The Great Gatsby;1974;Drama Romance;6.4;6;21458
Великий Гэтсби;2013;Drama Romance;7.3;8;415786
The Sundowners;1960;Drama Adventure;7.2;7;3318
Voskhozhdenie;1977;Drama War;8.3;9;4818
Viva Zapata!;1952;Biography Drama History;7.5;6;8782
Der Student von Prag;1935;Undefined;7.2;7;73
Железный человек 3;2013;Action Adventure Sci-Fi;7.2;7;648636
Guys and Dolls;1955;Comedy Crime Musical;7.2;6;13548
Le bal;1983;History Musical;7.9;6;2146
Пуаро;1989;Crime Drama Mystery;7.9;6;3042
Пуаро;1989;Crime Drama Mystery;8;7;1420
Пуаро;1989;Crime Drama Mystery;7.9;6;2265
Пуаро;1989;Crime Drama Mystery;8.4;6;2371
Пуаро;1989;Crime Drama Mystery;7.9;6;1457
Пуаро;1989;Crime Drama Mystery;7.9;5;632
Пуаро;1989;Crime Drama Mystery;8.3;5;784
The Lusty Men;1952;Action Drama Sport;7.5;8;1999
Strange Cargo;1940;Adventure Drama Romance;6.9;5;1842
Лицо со шрамом;1983;Crime Drama;8.3;6;633195
Allotria;1936;Comedy;7;7;84
The Sea Hawk;1940;Action Adventure History;7.8;7;7962
Dead Ringers;1988;Drama Horror Thriller;7.3;6;34235
Wait Until Dark;1967;Thriller;7.8;7;23841
City Streets;1931;Crime Drama Film-Noir;7.2;6;1049
Colorado Territory;1949;Western;7.2;8;1987
Maskerade;1934;Comedy Romance;7.8;7;214
Улица потрошителя;2012;Crime Drama Mystery;8.1;8;17016
They Died with Their Boots On;1941;Biography Drama Romance;7.3;6;5096
Gaslight;1940;Thriller;7.4;7;3061
Кон-Тики;2012;Adventure History;7.2;6;40143
Captain Blood;1935;Action Adventure;7.8;5;11333
Il sorpasso;1962;Comedy Drama;8.2;7;7264
Dodge City;1939;Western;7.2;6;3935
The Merry Widow;1925;Drama Romance;8.1;7;1974
Транс;2013;Crime Drama Mystery;6.9;7;102427
Vera Cruz;1954;Adventure Western;7.1;6;7560
Солдаты неудачи;2008;Action Comedy;7;7;341592
The Queen of Spades;1949;Drama Horror;7.4;7;1039
Sous les toits de Paris;1930;Comedy Drama Musical;7.3;6;1737
Paris qui dort;1924;Short Sci-Fi;7.3;8;1330
Entr'acte;1924;Short;7.5;7;2973
Brumes d'automne;1929;Short Drama;7;7;482
Vamos a matar, compañeros;1970;Action Comedy Western;7.5;6;3218
Mauprat;1926;Drama;6.9;6;105
Ménilmontant;1926;Short Drama Mystery;8.1;8;1843
Dirty Harry;1971;Action Crime Drama;7.8;6;127583
Северная стена;2008;Adventure Biography Drama;7.4;7;13099
Le brasier ardent;1923;Comedy Drama;7.2;7;182
Body Heat;1981;Crime Drama Romance;7.4;7;26555
La chute de la maison Usher;1928;Horror;7.4;6;2863
Обитель радости;2000;Romance Drama;7.1;7;6748
La grande guerra;1959;Comedy Drama War;8.3;8;3094
Квартет;2012;Comedy Drama;6.8;7;17377
Конец парада;2012;Action Drama Romance;7.7;5;8488
The Rose Tattoo;1955;Comedy Drama Romance;7.2;7;3006
Гамбит;2012;Comedy Crime;5.7;6;21431
The Mark of Zorro;1940;Action Adventure Romance;7.6;5;8332
The Day the Earth Stood Still;1951;Drama Sci-Fi;7.8;6;70358
Coeur fidèle;1923;Drama Romance;7.8;6;868
Мама Рома;1962;Drama;7.9;7;6944
A Woman of Affairs;1928;Drama;7.7;5;1196
It Started in Naples;1960;Comedy Drama;6.3;7;1964
It;1927;Comedy Romance;7.4;6;2600
Побочный эффект;2013;Crime Drama Mystery;7.1;6;164098
Ben-Hur: A Tale of the Christ;1925;Adventure Drama Romance;8;7;6643
L'oro di Napoli;1954;Comedy Drama;7.4;6;1183
Охота;2012;Drama;8.3;7;225597
La donna del lago;1965;Crime Drama Mystery;7.2;6;382
Bellissima;1951;Comedy Drama;7.9;7;3269
A Face in the Crowd;1957;Drama Music;8.2;6;11442
Список Шиндлера;1993;Biography Drama History;8.9;6;1028001
Io la conoscevo bene;1965;Drama;7.7;7;1460
Мастер;2012;Drama;7.1;5;124526
Отверженные;2012;Drama History Musical;7.6;8;275463
Lone Star;1952;Action Adventure History;6.1;5;709
Жестокая игра;1992;Crime Drama Romance;7.3;8;45962
Le jour se lève;1939;Crime Drama Romance;7.8;8;5577
Bullitt;1968;Action Crime Mystery;7.5;7;52937
Susan Lenox;1931;Drama Romance;6.5;6;902
Pat Garrett & Billy the Kid;1973;Biography Drama Western;7.4;6;15701
Navajo Joe;1966;Western;6.4;5;2932
Silver Lode;1954;Western;7;7;1330
To Please a Lady;1950;Action Romance Sport;6.3;6;734
Dog Day Afternoon;1975;Biography Crime Drama;8;6;211752
La resa dei conti;1966;Western;7.5;5;4536
Цель номер один;2012;Drama Thriller;7.4;7;241986
Заложники;2007;Crime Drama Thriller;6.1;5;1324
Quién sabe?;1967;Action Western;7.1;6;3302
Тумстоун: Легенда дикого запада;1993;Action Biography Drama;7.8;5;109157
Tumbleweeds;1925;Western;6.9;5;480
Чaс;2011;Drama;8;7;8690
Охотники на ведьм;2013;Action Fantasy Horror;6.1;6;177472
Английский пациент;1996;Drama Romance War;7.4;7;160267
Вкуc жизни;2007;Comedy Drama Romance;6.3;6;64815
Свадьба лучшего друга;1997;Comedy Drama Romance;6.3;6;111712
Непристойное предложение;1993;Drama Romance;5.8;5;54573
Джанго освобожденный;2012;Drama Western;8.4;9;1149343
Корпорация монстров;2001;Animation Adventure Comedy;8.1;7;702166
Banshun;1949;Drama;8.3;6;11322
Босс;2011;Crime Drama;8.1;7;16232
La Strada;1954;Drama;8.1;7;51490
Королевский роман;2012;Biography Drama History;7.6;8;39551
Papillon;1973;Biography Crime Drama;8;6;107646
Звери дикого Юга;2012;Adventure Drama Fantasy;7.3;7;75992
Call of the Wild;1935;Action Adventure Drama;6.9;7;1516
Линкольн;2012;Biography Drama History;7.4;5;221835
Экипаж;2012;Drama Thriller;7.3;6;292538
Принцесса-невеста;1987;Adventure Family Fantasy;8.1;6;343083
Анна Каренина;2012;Drama Romance;6.6;5;81529
Как по маслу;2011;Comedy;6.2;6;18970
Kosmicheskiy reys: Fantasticheskaya novella;1936;Sci-Fi;7.1;4;288
Путешествие на Марс;1918;Adventure Fantasy Sci-Fi;6.8;5;470
Во все тяжкие;2008;Crime Drama Thriller;9.5;9;1114339
Black Narcissus;1947;Drama;8;6;18255
Во имя отца;1993;Biography Drama;8.1;7;135041
Жизнь Пи;2012;Adventure Drama Fantasy;7.9;6;511113
Moonraker;1979;Action Adventure Sci-Fi;6.3;7;78787
The Big Knife;1955;Crime Drama Film-Noir;6.9;7;2730
Хоббит: Нежданное путешествие;2012;Adventure Family Fantasy;7.9;6;701282
The Harder They Fall;1956;Drama Film-Noir Sport;7.6;6;5852
Black Angel;1946;Crime Film-Noir Mystery;7;4;2159
For Your Eyes Only;1981;Action Adventure Thriller;6.8;6;80790
A Star Is Born;1954;Drama Musical Romance;7.8;5;12229
The Wizard of Oz;1939;Adventure Family Fantasy;8;5;338328
Clash by Night;1952;Drama Film-Noir Romance;7.2;7;4808
The Blue Gardenia;1953;Crime Drama Film-Noir;7;5;3868
1+1;2011;Biography Comedy Drama;8.5;7;632905
The Thomas Crown Affair;1968;Crime Drama Romance;7;6;19388
Я и Орсон Уэллс;2008;Comedy Drama;6.8;4;10049
Рыба моей мечты;2011;Comedy Drama Romance;6.8;7;57275
The Stranger;1946;Crime Drama Film-Noir;7.4;8;16486
Маска;1994;Comedy Fantasy;6.9;6;301535
Ангелы Чарли;2000;Action Adventure Comedy;5.5;6;158667
Шрек 2;2004;Animation Adventure Comedy;7.2;7;361492
Однажды в Вегасе;2008;Comedy Romance;6.1;3;153678
Шрек;2001;Animation Adventure Comedy;7.9;7;534027
Все без ума от Мэри;1998;Comedy Romance;7.1;3;267947
Тупой и еще тупее;1994;Comedy;7.3;3;319260
Квант милосердия;2008;Action Adventure Thriller;6.6;5;366367
The Man with the Golden Gun;1974;Action Adventure Thriller;6.8;6;83293
Ржавчина и кость;2012;Drama Romance;7.5;6;56842
Jeremiah Johnson;1972;Adventure Drama Western;7.6;6;24501
Kiss of Death;1947;Crime Drama Film-Noir;7.5;5;6084
Пьета;2012;Crime Drama;7.2;5;10961
Live and Let Die;1973;Action Adventure Thriller;6.8;7;84433
Заговор против короны;2004;Drama History;7.3;5;1452
Непрощённый;1992;Drama Western;8.2;8;325900
Унесённые призраками;2001;Animation Adventure Family;8.6;6;522698
Diamonds Are Forever;1971;Action Adventure Thriller;6.7;6;83339
Beyond the Forest;1949;Drama Film-Noir Romance;7.2;6;1823
Самый пьяный округ в мире;2012;Crime Drama;7.3;7;207539
Усадьба Хауардс-Энд;1992;Drama Romance;7.5;7;24679
Любовница Дьявола: Унесенные страстью;2008;Drama History Romance;7.2;6;2094
Il giorno della civetta;1968;Crime Drama Mystery;7.1;6;884
Thunderball;1965;Action Adventure Thriller;7;5;91874
Support Your Local Sheriff!;1969;Comedy Romance Western;7.5;5;8728
Giant;1956;Drama Western;7.7;6;30059
...А в душе я танцую;2004;Comedy Drama;7.9;7;12979
The Postman Always Rings Twice;1946;Crime Drama Film-Noir;7.5;7;16105
Moonstruck;1987;Comedy Drama Romance;7.1;7;41158
From Russia with Love;1963;Action Adventure Thriller;7.5;7;101487
Dr. No;1962;Action Adventure Thriller;7.3;6;129628
Мой парень - псих;2012;Comedy Drama Romance;7.7;4;600538
Принесите мне голову Альфредо Гарсия;1974;Action Crime Drama;7.5;6;15835
High Plains Drifter;1973;Mystery Western;7.6;5;42876
Imitation of Life;1959;Drama;7.9;6;12806
Газетчик;2012;Crime Drama Mystery;5.8;4;32856
Out of Africa;1985;Biography Drama Romance;7.2;6;61526
Облачный атлас;2012;Action Drama Mystery;7.5;5;317536
Alice Doesn't Live Here Anymore;1974;Drama Romance;7.4;7;17860
Boxcar Bertha;1972;Crime Drama Romance;6.1;6;7144
The Eagle;1925;Action Comedy Drama;7.3;5;1460
Strange Interlude;1932;Drama;5.9;4;531
На секретной службе Ее Величества;1969;Action Adventure Thriller;6.8;6;68592
Монти Пайтон и священный Грааль;1975;Adventure Comedy Fantasy;8.3;3;441602
You Only Live Twice;1967;Action Adventure Thriller;6.9;7;84815
The Man Who Laughs;1928;Drama Horror Mystery;7.8;6;4490
Three Days of the Condor;1975;Mystery Thriller;7.5;7;40800
The Children's Hour;1961;Drama Romance;7.8;7;12292
Under Capricorn;1949;Crime Drama Romance;6.2;6;5368
